table_name,field_name,datatype,array_of,relationships
biosample,biosample_id,string,FALSE,
biosample,age_age_category,string,FALSE,
biosample,age_age_unit,string,FALSE,
biosample,age_lower_bound,float,FALSE,
biosample,age_upper_bound,float,FALSE,
biosample,data_use_permission,string,FALSE,
biosample,data_use_requirement,string,FALSE,
biosample,date_collected,datetime,FALSE,
biosample,derivation,string,TRUE,
biosample,derived_from,string,TRUE,
biosample,developmental_stage,string,TRUE,
biosample,disease_ontologyreference_id,string,FALSE,
biosample,donor_id,string,FALSE,donor.donor_id
biosample,library_prep_activity_librarypreparation_id,string,TRUE,
biosample,paired_normal_biosample_id,string,TRUE,
biosample,paired_tumor_biosample_id,string,TRUE,
biosample,part_of_dataset_id,string,TRUE,
biosample,preservation_state,string,FALSE,
biosample,primary_or_metastatic_indicator,string,FALSE,
biosample,sample_type,string,TRUE,
biosample,sequencing_activity_sequencing_id,string,TRUE,
biosample,xref,string,TRUE,
diagnosis,diagnosis_id,string,FALSE,
diagnosis,age_at_onset_age_category,string,FALSE,
diagnosis,age_at_onset_age_unit,string,FALSE,
diagnosis,age_at_onset_lower_bound,float,FALSE,
diagnosis,age_at_onset_upper_bound,float,FALSE,
diagnosis,cause_of_death,boolean,FALSE,
diagnosis,contributor_to_death,boolean,TRUE,
diagnosis,diagnosis_age_age_category,string,FALSE,
diagnosis,diagnosis_age_age_unit,string,FALSE,
diagnosis,diagnosis_age_lower_bound,float,FALSE,
diagnosis,diagnosis_age_upper_bound,float,FALSE,
diagnosis,disease_ontologyreference_id,string,TRUE,
diagnosis,disease_other,string,TRUE,
donor,donor_id,string,FALSE,
donor,age_age_category,string,FALSE,
donor,age_age_unit,string,FALSE,
donor,age_lower_bound,float,FALSE,
donor,age_upper_bound,float,FALSE,
donor,biosample_id,string,TRUE,
donor,data_use_limitation,string,FALSE,
donor,data_use_requirement,string,FALSE,
donor,diagnosis_id,string,TRUE,
donor,ethnicity,string,FALSE,
donor,family_id,string,TRUE,
donor,genotypic_sex,string,TRUE,
donor,manner_of_death,string,TRUE,
donor,medical_history,string,TRUE,
donor,organism_type,string,FALSE,
donor,parent_donor_id,string,TRUE,
donor,parent_familymember_id,string,TRUE,
donor,part_of_dataset_id,string,FALSE,
donor,phenotypic_sex,string,FALSE,
donor,race,string,FALSE,
donor,xref,string,FALSE,
familymember,familymember_id,string,FALSE,
familymember,age_age_category,string,FALSE,
familymember,age_age_unit,string,FALSE,
familymember,age_lower_bound,float,FALSE,
familymember,age_upper_bound,float,FALSE,
familymember,child_donor_id,string,TRUE,
familymember,child_familymember_id,string,TRUE,
familymember,diagnosis_id,string,TRUE,
familymember,ethnicity,string,TRUE,
familymember,family_id,string,TRUE,
familymember,manner_of_death,string,TRUE,
familymember,organism_type,string,TRUE,
familymember,parent_donor_id,string,TRUE,
familymember,parent_familymember_id,string,TRUE,
familymember,phenotypic_sex,string,FALSE,
familymember,race,string,TRUE,
familymember,sibling_donor_id,string,TRUE,
familymember,sibling_familymember_id,string,TRUE,
sequencing,sequencing_id,string,FALSE,
sequencing,associated_with,string,TRUE,
sequencing,created,string,FALSE,
sequencing,data_modality,string,TRUE,
sequencing,disease_ontologyreference_id,string,FALSE,
sequencing,disease_other,string,FALSE,
sequencing,end_time,datetime,FALSE,
sequencing,generated_alignmentfile_id,fileref,TRUE,
sequencing,generated_file_id,fileref,TRUE,
sequencing,generated_sequencefile_id,fileref,TRUE,
sequencing,grade,string,FALSE,
sequencing,library_id,string,TRUE,
sequencing,protocol,string,TRUE,
sequencing,reference_assembly,string,TRUE,
sequencing,sample_biosample_id,string,TRUE,
sequencing,stage,string,FALSE,
sequencing,started_at_time,datetime,FALSE,
sequencing,tumor_morphology,string,FALSE,
sequencing,used_alignmentfile_id,fileref,TRUE,
sequencing,used_file_id,fileref,TRUE,
sequencing,used_other,string,TRUE,
variantcalling,variantcalling_id,string,FALSE,
variantcalling,associated_with,string,TRUE,
variantcalling,created,string,FALSE,
variantcalling,data_modality,string,TRUE,
variantcalling,disease_ontologyreference_id,string,FALSE,
variantcalling,disease_other,string,FALSE,
variantcalling,end_time,datetime,FALSE,
variantcalling,generated_alignmentfile_id,fileref,TRUE,
variantcalling,generated_file_id,fileref,TRUE,
variantcalling,generated_variantcallset_id,fileref,TRUE,
variantcalling,grade,string,FALSE,
variantcalling,protocol,string,TRUE,
variantcalling,reference_assembly,string,TRUE,
variantcalling,sample_biosample_id,string,TRUE,
variantcalling,stage,string,FALSE,
variantcalling,started_at_time,datetime,FALSE,
variantcalling,tumor_morphology,string,FALSE,
variantcalling,used_alignmentfile_id,fileref,TRUE,
variantcalling,used_file_id,fileref,TRUE,
variantcalling,used_other,string,TRUE,
